payment_id,customer_id,amount,payment_date,status
194,33,14288.4,2026-07-11,Paid
195,33,14288.4,2026-06-11,Paid
196,33,14288.4,2026-05-12,Paid
197,33,14288.4,2026-04-12,Paid
198,33,14288.4,2026-03-13,Paid
199,34,36388.98,2026-08-10,Late
200,34,36388.98,2026-07-11,Paid
201,34,36388.98,2026-06-11,Paid
202,34,36388.98,2026-05-12,Paid
203,34,36388.98,2026-04-12,Paid
204,34,36388.98,2026-03-13,Paid
205,35,1315.63,2026-08-10,Paid
206,35,1315.63,2026-07-11,Paid
207,35,1315.63,2026-06-11,Paid
208,35,1315.63,2026-05-12,Paid
209,35,1315.63,2026-04-12,Paid
210,35,1315.63,2026-03-13,Paid
211,36,2205.06,2026-08-10,Paid
212,36,2205.06,2026-07-11,Failed
213,36,2205.06,2026-06-11,Late
214,36,2205.06,2026-05-12,Paid
215,36,2205.06,2026-04-12,Paid
216,36,2205.06,2026-03-13,Paid
217,37,35225.83,2026-08-10,Paid
218,37,35225.83,2026-07-11,Paid
219,37,35225.83,2026-06-11,Paid
220,37,35225.83,2026-05-12,Late
221,37,35225.83,2026-04-12,Paid
222,37,35225.83,2026-03-13,Late
223,38,1994.92,2026-08-10,Paid
224,38,1994.92,2026-07-11,Paid
225,38,1994.92,2026-06-11,Paid
226,38,1994.92,2026-05-12,Paid
227,38,1994.92,2026-04-12,Paid
228,38,1994.92,2026-03-13,Paid
229,39,8195.74,2026-08-10,Paid
230,39,8195.74,2026-07-11,Paid
231,39,8195.74,2026-06-11,Paid
232,39,8195.74,2026-05-12,Paid
233,39,8195.74,2026-04-12,Paid
234,39,8195.74,2026-03-13,Paid
235,40,1994.75,2026-08-10,Paid
236,40,1994.75,2026-07-11,Paid
237,40,1994.75,2026-06-11,Failed
238,40,1994.75,2026-05-12,Late
239,40,1994.75,2026-04-12,Paid
240,40,1994.75,2026-03-13,Late
241,41,1121.9,2026-08-10,Paid
242,41,1121.9,2026-07-11,Paid
243,41,1121.9,2026-06-11,Paid
244,41,1121.9,2026-05-12,Paid
245,41,1121.9,2026-04-12,Paid
246,41,1121.9,2026-03-13,Paid
247,42,32664.37,2026-08-10,Paid
248,42,32664.37,2026-07-11,Paid
249,42,32664.37,2026-06-11,Paid
250,42,32664.37,2026-05-12,Late
251,42,32664.37,2026-04-12,Late
252,42,32664.37,2026-03-13,Paid
253,43,8303.02,2026-08-10,Paid
254,43,8303.02,2026-07-11,Paid
255,43,8303.02,2026-06-11,Paid
256,43,8303.02,2026-05-12,Paid
257,43,8303.02,2026-04-12,Paid
258,43,8303.02,2026-03-13,Paid
259,44,4905.12,2026-08-10,Late
260,44,4905.12,2026-07-11,Paid
261,44,4905.12,2026-06-11,Paid
262,44,4905.12,2026-05-12,Paid
263,44,4905.12,2026-04-12,Paid
264,44,4905.12,2026-03-13,Paid
265,45,451.72,2026-08-10,Paid
266,45,451.72,2026-07-11,Paid
267,45,451.72,2026-06-11,Paid
268,45,451.72,2026-05-12,Paid
269,45,451.72,2026-04-12,Paid
270,45,451.72,2026-03-13,Paid
271,46,2527.04,2026-08-10,Paid
272,46,2527.04,2026-07-11,Paid
273,46,2527.04,2026-06-11,Paid
274,46,2527.04,2026-05-12,Paid
275,46,2527.04,2026-04-12,Late
276,46,2527.04,2026-03-13,Paid
277,47,1849.39,2026-08-10,Paid
278,47,1849.39,2026-07-11,Paid
279,47,1849.39,2026-06-11,Paid
280,47,1849.39,2026-05-12,Paid
281,47,1849.39,2026-04-12,Paid
282,47,1849.39,2026-03-13,Paid
283,48,6264.44,2026-08-10,Paid
284,48,6264.44,2026-07-11,Paid
285,48,6264.44,2026-06-11,Paid
286,48,6264.44,2026-05-12,Paid
287,48,6264.44,2026-04-12,Paid
288,48,6264.44,2026-03-13,Paid
289,49,7930.3,2026-08-10,Paid
290,49,7930.3,2026-07-11,Paid
291,49,7930.3,2026-06-11,Paid
292,49,7930.3,2026-05-12,Paid
293,49,7930.3,2026-04-12,Late
294,49,7930.3,2026-03-13,Paid
295,50,1762.49,2026-08-10,Paid
296,50,1762.49,2026-07-11,Paid
297,50,1762.49,2026-06-11,Paid
298,50,1762.49,2026-05-12,Paid
299,50,1762.49,2026-04-12,Paid
300,50,1762.49,2026-03-13,Paid
